Id,NoSelected,TxSize,MinConfirm,MaxConfirm,MedianConfirm,NoSelectedReal,TxSizeReal,MinConfirmReal,MaxConfirmReal,MedianConfirmReal,NoVin,NoVout,Runtime
5ad448a959678302d59e6f75,6,2076,20481,20541,20511,2,1484,78,98,98,99,1,2
5ad44bfdce94cf05c955f862,2,1352,98,17603,17603,2,1352,98,17603,17603,2,1,0
5ad44e0ece94cf05c955f864,2,1526,8418,12970,12970,2,1492,971,12970,12970,3,2,0
5ad44e1bce94cf05c955f865,2,1348,111,212,212,2,1348,111,212,212,2,1,0
5ad4503ece94cf05c955f868,4,1780,530,16879,1878,2,1484,530,536,536,5,1,0
5ad4517cce94cf05c955f86a,2,1624,71,76,76,2,1624,1,5,5,16,2,0
5ad4519cce94cf05c955f86b,5,1932,487,59528,3206,2,1488,487,1496,1496,6,1,0
5ad45307ce94cf05c955f86c,2,1344,276,277,277,2,1344,276,277,277,2,1,0
5ad45353ce94cf05c955f86d,3,2080,808,8488,6575,3,2080,808,8488,6575,3,2,0
5ad4537ece94cf05c955f86e,2,1484,1,1,1,2,1484,1,1,1,2,2,0
5ad45471ce94cf05c955f86f,23,20426,7931,7962,7937,8,18172,6,4053,17,19863,101,4
5ad45a854c372215dd13d61b,24,20846,7933,7965,7940,9,18592,6,6812,1216,19880,100,4
5ad45aac4c372215dd13d61c,7,2536,2,3569,924,3,1944,2,474,163,7,1,0
5ad45bc64c372215dd13d61d,3,1636,252,256,254,2,1488,252,256,256,3,2,0
5ad45f554c372215dd13d620,1,3560,4302,4302,4302,7,4448,53,4302,2404,8,1,0
5ad460064c372215dd13d621,8,3640,618,69414,35259,4,3048,618,69414,26617,8,1,0
5ad4601c4c372215dd13d622,2,1360,1930,1933,1933,2,1360,1930,1933,1933,2,1,0
5ad460274c372215dd13d623,9,3352,4,32481,9257,3,2464,4,3633,2196,10,1,0
5ad462d64c372215dd13d625,2,1484,6,7,7,2,1484,6,7,7,2,2,0
5ad464274c372215dd13d626,3,1666,1877,3379,1877,2,1484,1875,1877,1877,4,2,0
5ad466074c372215dd13d627,4,2254,17694,24798,20352,3,2072,17694,20352,19025,6,2,0
5ad466964c372215dd13d628,2,1496,2,2,2,2,1496,2,2,2,2,2,0
5ad466b84c372215dd13d629,3,1640,876,7027,6961,2,1492,876,6961,6961,3,2,0
5ad467694c372215dd13d62a,4,2536,11723,40198,40160,4,2536,11723,40198,40160,4,1,0
5ad468234c372215dd13d62c,2,1344,12005,12814,12814,2,1344,12005,12814,12814,2,1,0
5ad469f14c372215dd13d62e,3,2088,979,1442,1132,3,2088,979,1442,1132,9,2,0
5ad46c154c372215dd13d630,2,1492,548,549,549,2,1492,548,549,549,2,2,0
5ad46c3a4c372215dd13d631,1,1370,470,470,470,2,1484,20,34,34,3,2,0
5ad46ca84c372215dd13d632,3,1940,1419,3380,2260,3,1940,1419,3380,2260,3,1,0
5ad46ec14c372215dd13d633,7,4304,8,2325,766,7,4304,8,2325,766,7,1,0
5ad46ef24c372215dd13d634,5,2044,56,83864,60027,2,1600,56,218,218,5,1,0
5ad471284c372215dd13d638,2,1496,82,2186,2186,2,1496,82,2186,2186,3,1,0
5ad471b84c372215dd13d639,1,1344,3325,3325,3325,2,1492,3233,3325,3325,4,1,0
5ad472484c372215dd13d63a,12,2836,10,24237,8490,2,1356,10,1029,1029,12,1,0
5ad472ba4c372215dd13d63b,2,1600,10,10,10,2,1600,10,10,10,2,1,0
5ad472c54c372215dd13d63c,2,1488,284,289,289,2,1488,284,289,289,2,2,0
5ad473814c372215dd13d63d,1,1888,36,36,36,2,2036,3,4,4,6,5,0
5ad4739d4c372215dd13d63e,3,1640,36459,60589,56162,2,1492,36459,56162,56162,3,2,0
5ad4742c4c372215dd13d63f,2,1352,1,3,3,2,1352,1,3,3,2,1,0
5ad474d64c372215dd13d640,4,2656,13490,15467,14767,4,2656,13490,15467,14767,4,2,0
5ad475124c372215dd13d641,11,2816,15124,29423,22578,2,1484,6386,6851,6851,94,1,0
5ad4758c4c372215dd13d642,15,11278,7947,7973,7955,8,10208,6,4877,2400,19840,41,4
5ad476594c372215dd13d643,2,1488,3,3,3,2,1488,3,3,3,2,2,0
5ad476844c372215dd13d644,4,2536,85,31191,26846,4,2536,85,31191,26846,4,1,0
5ad476fb4c372215dd13d645,2,1488,68,73,73,2,1488,68,73,73,38,1,0
5ad477294c372215dd13d646,4,2680,5,6,5,4,2680,5,6,5,4,2,0
5ad4791c4c372215dd13d648,2,1748,1322,9745,9745,2,1748,89,433,433,1192,1,0
5ad47be34c372215dd13d64a,3,2072,284,3334,2739,3,2072,284,3334,2739,4,1,0
5ad47d664c372215dd13d64c,10,5760,28,2988,46,9,5612,28,48,42,18,1,0
5ad47dc44c372215dd13d64d,3,1670,1883,3667,2631,2,1488,461,3667,3667,5,2,0
5ad47eb64c372215dd13d64e,6,3840,466,10034,2632,6,3840,466,10034,2632,6,2,0
5ad47f9d4c372215dd13d64f,2,1356,227,228,228,2,1356,227,228,228,2,1,0
5ad484584c372215dd13d651,4,3146,700,4013,4013,5,3260,290,4013,700,6,2,0
5ad484ba4c372215dd13d652,3,2072,1224,1566,1526,3,2072,1224,1566,1526,3,2,0
5ad486864c372215dd13d654,3,2080,430,445,443,3,2080,430,445,443,8,1,0
5ad486964c372215dd13d655,6,3724,1680,10316,5988,6,3724,1680,10316,5988,6,1,0
5ad4874d4c372215dd13d656,2,1488,2932,2934,2934,2,1488,2932,2934,2934,2,2,0
5ad487e34c372215dd13d657,9,2558,233,1510,862,2,1488,233,386,386,10,2,0
5ad4884f4c372215dd13d658,14,3264,0,12174,11274,2,1488,0,12174,12174,14,2,0
5ad489674c372215dd13d659,7,3996,9749,20957,17516,6,3848,9749,19775,17516,7,2,0
5ad489ba4c372215dd13d65b,6,3716,4101,5152,5145,6,3716,4101,5152,5145,6,1,0
5ad48ad14c372215dd13d65c,3,2080,288,2218,1247,3,2080,288,2218,1247,3,2,0
5ad48afa4c372215dd13d65d,2,1492,1,1569,1569,2,1492,1,1569,1569,2,2,0
5ad48b864c372215dd13d65e,25,5680,4024,74804,40172,2,2276,3,4,4,38,5,0
5ad48dac4c372215dd13d65f,1,1612,6,6,6,2,1760,3,6,6,7,3,0
5ad48de24c372215dd13d660,2,1492,575,576,576,2,1492,575,576,576,2,2,0
5ad48e444c372215dd13d661,1,2000,531,531,531,2,2148,6,14,14,6,6,0
5ad48f254c372215dd13d663,3,2110,10063,11033,10521,3,2076,6843,11033,10521,4,2,0
5ad490a54c372215dd13d665,83,13514,19928,43491,24745,2,1492,3474,5758,5758,115,2,0
5ad491554c372215dd13d666,1,1370,11613,11613,11613,2,1484,1398,7476,7476,6,2,0
5ad492cd4c372215dd13d668,2,1348,259,2210,2210,2,1348,259,2210,2210,2,1,0
5ad4933b4c372215dd13d669,6,3848,64,753,511,6,3848,64,753,511,7,1,0
5ad494f14c372215dd13d66a,2,1352,18,18,18,2,1352,18,18,18,2,1,0
5ad495554c372215dd13d66b,5,3112,4,167,96,5,3112,4,167,96,5,1,0
5ad4957e4c372215dd13d66c,27,6228,3981,74809,30957,2,2528,0,292,292,36,7,0
5ad498914c372215dd13d66e,4,3048,2973,8342,7779,4,3048,2973,8342,7779,4,1,0
5ad4990e4c372215dd13d66f,3,2076,79,80,80,3,2076,79,80,80,39,1,0
5ad499f44c372215dd13d670,10,6072,76,3600,1949,10,6072,76,3600,1949,10,1,0
5ad49b514c372215dd13d671,24,20562,7958,7990,7965,8,18160,6,2562,15,19774,101,4
5ad49caa4c372215dd13d672,2,1484,1612,3805,3805,2,1484,1612,3805,3805,2,2,0
5ad49e5c4c372215dd13d676,2,1632,18,22,22,2,1632,18,22,22,12,2,0
5ad49ea34c372215dd13d677,14,11730,7968,7993,7975,4,10216,14,6298,4105,19777,59,4
5ad49f644c372215dd13d678,2,1352,1,1583,1583,2,1352,1,1583,1583,2,1,0
5ad49faf4c372215dd13d679,2,1356,446,446,446,2,1356,446,446,446,2,1,0
5ad4a25d4c372215dd13d685,3,1932,3249,16367,16367,3,1932,3249,16367,16367,3,1,0
5ad4a2ec4c372215dd13d686,2,1496,2644,3795,3795,2,1496,2644,3795,3795,4,2,0
5ad4a3084c372215dd13d687,3,1936,24,106,99,3,1936,24,106,99,3,1,0
5ad4a4934c372215dd13d688,7,4448,22,923,362,7,4448,22,923,362,7,2,0
5ad4a74f4c372215dd13d68a,9,5616,33,9450,1093,9,5616,33,9450,1093,11,1,0
5ad4a9e64c372215dd13d68b,2,1492,10,4835,4835,2,1492,10,4835,4835,2,2,0
5ad4aa604c372215dd13d68c,2,1360,603,763,763,2,1360,603,763,763,2,1,0
5ad4aacf4c372215dd13d68d,14,4096,27,11009,2470,3,2468,4,33,27,17,1,0
5ad4ab444c372215dd13d68e,3,1948,94,569,121,3,1948,94,569,121,3,1,0
5ad4abb84c372215dd13d68f,35,6376,7,51483,20389,2,1492,7,27,27,35,2,0
5ad4abfe4c372215dd13d690,19,4930,35777,44983,36889,4,2676,2785,9799,4380,255,2,0
5ad4ac0f4c372215dd13d691,2,1458,16,31,31,2,1492,16,31,31,3,1,0
5ad4ac8e4c372215dd13d692,2,1492,189,257,257,2,1492,189,257,257,2,2,0
5ad4acaf4c372215dd13d693,3,2088,3,299,22,3,2088,3,299,22,3,2,0
5ad4ad324c372215dd13d694,4,2520,746,914,897,4,2520,746,914,897,4,1,0
5ad4ad534c372215dd13d695,28,22042,7968,8001,7976,10,19344,8,7612,642,19747,101,4
5ad4ad714c372215dd13d696,4,1788,366,1477,772,2,1492,366,481,481,5,1,0
5ad4ada24c372215dd13d697,2,1496,8,14,14,2,1496,8,14,14,2,2,0
5ad4ae9d4c372215dd13d698,2,2884,1349,9772,9772,4,3180,67,433,433,1091,1,0
5ad4b06e4c372215dd13d69b,2,1744,8,35,35,2,1744,8,35,35,3,1,0
5ad4b1224c372215dd13d69c,2,1492,257,646,646,2,1492,257,646,646,2,2,0
5ad4b2664c372215dd13d69e,3,1948,82,2898,2558,3,1948,82,2898,2558,3,1,0
5ad4b33c4c372215dd13d69f,2,1356,334,620,620,2,1356,334,620,620,2,1,0
5ad4b3884c372215dd13d6a0,1,1374,45117,45117,45117,2,1488,4004,7193,7193,26,2,0
5ad4b4b54c372215dd13d6a1,8,5938,46734,47358,47166,10,6200,39472,47192,45851,82,2,0
5ad4b5034c372215dd13d6a2,2,1352,1126,1446,1446,2,1352,1126,1446,1446,2,1,0
5ad4b5fb4c372215dd13d6a3,6,2080,441,10282,1887,2,1488,441,606,606,7,1,0
5ad4b8154c372215dd13d6a7,2,1488,7,7,7,2,1488,7,7,7,2,2,0
5ad4b8d74c372215dd13d6a8,34,9896,36,3483,300,8,6048,33,291,167,37,1,0
5ad4b9324c372215dd13d6a9,4,2044,6,83759,427,2,1748,6,95,95,5,1,0
5ad4b9644c372215dd13d6aa,17,20246,7977,8004,7986,10,19176,278,7674,4825,19623,100,5
5ad4ba104c372215dd13d6ab,4,2668,496,2659,1912,4,2668,496,2659,1912,4,2,0
5ad4baab4c372215dd13d6ac,2,1484,20,20,20,2,1484,20,20,20,8,1,0
5ad4bb5b4c372215dd13d6ad,2,1480,149,250,250,2,1480,149,250,250,2,2,0
5ad4bc7b4c372215dd13d6ae,24,19218,7974,8006,7981,5,16372,6,6254,6,19619,101,19
5ad4bcc54c372215dd13d6af,7,5086,7988,8006,8002,3,4460,6,6763,4245,19614,20,8
5ad4bcf94c372215dd13d6b0,2,1492,2,117,117,2,1492,2,117,117,3,2,0
5ad4bd964c372215dd13d6b2,2,1356,276,2005,2005,2,1356,276,2005,2005,2,1,0
5ad4be974c372215dd13d6b4,4,2540,6,39,6,4,2540,6,39,6,4,1,0
5ad4bf004c372215dd13d6b5,5,3112,138,488,153,5,3112,138,488,153,5,1,0
5ad4bf7f4c372215dd13d6b6,9,3412,16578,22284,22283,4,2672,16578,22284,22251,9,2,0
5ad4bfd94c372215dd13d6b7,3,2110,1907,2112,1956,3,2076,547,2112,1810,15,2,0
5ad4c0d94c372215dd13d6b8,1,2188,71,71,71,3,2484,1,2,2,5,4,0
5ad4c1be4c372215dd13d6b9,3,2080,20565,24013,24013,3,2080,20565,24013,24013,5,1,0
5ad4c4144c372215dd13d6bb,8,3708,73895,101295,90192,5,3264,57514,95433,73895,17,1,0
