ID, NumUTXO, OTS_MD1, NumUTXOUsed_MD1, Time_MD1, NumUTXOUsed_25%, TS_25%, Time_25%, NumUTXOUsed_50%, TS_50%, Time_50%, NumUTXOUsed_75%, TS_75%, Time_75%
5ad448a959678302d59e6f75, 99, 216, 1, 0.093, 1, 216, 0.016, 1, 216, 0, 2, 364, 0.109, 
5ad44bfdce94cf05c955f862, 2, 364, 2, 0, 2, 364, 0, 2, 364, 0, 2, 364, 0, 
5ad44e0ece94cf05c955f864, 3, 250, 1, 0.031, 1, 250, 0, 1, 250, 0.016, 2, 398, 0.015, 
5ad44e1bce94cf05c955f865, 2, 364, 2, 0, 2, 364, 0, 2, 364, 0.015, 2, 364, 0, 
5ad4503ece94cf05c955f868, 5, 364, 2, 0.015, 2, 364, 0, 3, 512, 0, 3, 512, 0, 
5ad4517cce94cf05c955f86a, 16, 250, 1, 0.047, 1, 250, 0.031, 1, 250, 0.031, 2, 398, 0.032, 
5ad4519cce94cf05c955f86b, 6, 364, 2, 0, 2, 364, 0, 3, 512, 0, 3, 512, 0.016, 
5ad45307ce94cf05c955f86c, 2, 364, 2, 0, 2, 364, 0.016, 2, 364, 0, 2, 364, 0, 
5ad45353ce94cf05c955f86d, 3, 546, 3, 0, 3, 546, 0.015, 3, 546, 0, 3, 546, 0, 
5ad4537ece94cf05c955f86e, 2, 398, 2, 0, 2, 398, 0.016, 2, 398, 0.016, 2, 398, 0, 
5ad45471ce94cf05c955f86f, 19863, 3616, 1, 1.11, 7, 4470, 15.328, 13, 5358, 4.235, 19, 6246, 4.688, 
5ad45a854c372215dd13d61b, 19880, 3582, 1, 2.75, 7, 4436, 4.922, 13, 5324, 6.171, 19, 6212, 3.078, 
5ad45aac4c372215dd13d61c, 7, 330, 2, 0.047, 2, 330, 0, 3, 478, 0.016, 3, 478, 0.031, 
5ad45bc64c372215dd13d61d, 3, 398, 2, 0.016, 2, 398, 0, 3, 546, 0, 3, 546, 0, 
5ad45f554c372215dd13d620, 8, 216, 1, 0.047, 1, 216, 0, 1, 216, 0.062, 2, 364, 0.047, 
5ad460064c372215dd13d621, 8, 364, 2, 0.015, 2, 364, 0, 3, 512, 0, 3, 512, 0, 
5ad4601c4c372215dd13d622, 2, 364, 2, 0, 2, 364, 0, 2, 364, 0, 2, 364, 0, 
5ad460274c372215dd13d623, 10, 512, 3, 0, 3, 512, 0.063, 4, 660, 0, 5, 808, 0.031, 
5ad462d64c372215dd13d625, 2, 398, 2, 0, 2, 398, 0, 2, 398, 0, 2, 398, 0, 
5ad464274c372215dd13d626, 4, 364, 2, 0.078, 2, 364, 0.015, 2, 364, 0.015, 2, 364, 0.031, 
5ad466074c372215dd13d627, 6, 546, 3, 0.031, 3, 546, 0.031, 4, 694, 0.062, 5, 842, 0.015, 
5ad466964c372215dd13d628, 2, 398, 2, 0, 2, 398, 0.016, 2, 398, 0, 2, 398, 0, 
